ticket_id,industry,ticket_text,category,priority,keywords
1,Ecommerce,I would like to upgrade my current plan to the premium package. Please let me know the steps and the price difference.,Sales / Plan Upgrade,Low,"upgrade,premium,plan,price"
2,Ecommerce,How can I upgrade my subscription to the enterprise tier?,Sales / Plan Upgrade,Low,"upgrade,subscription,enterprise"
3,Ecommerce,What are the pricing options for your business plan?,Sales / Plan Upgrade,Low,"pricing,business,plan"
4,Ecommerce,I want to switch from monthly to annual billing. What's the discount?,Sales / Plan Upgrade,Low,"switch,billing,annual,discount"
5,Ecommerce,Can you tell me what's included in the premium package?,Sales / Plan Upgrade,Low,"premium,package,included"
6,Ecommerce,I'm getting an error when trying to checkout,Sales / Plan Upgrade,High,"error,checkout"
7,Ecommerce,How do I track my order?,Sales / Plan Upgrade,Low,"track,order"
8,Ecommerce,My payment keeps getting declined at checkout,Sales / Plan Upgrade,High,"payment,declined,checkout"
9,Ecommerce,Can I change my shipping address after placing order?,Sales / Plan Upgrade,Medium,"shipping,address,change"
10,Ecommerce,What payment methods do you accept?,Sales / Plan Upgrade,Low,"payment,methods,accept"
11,Telecommunication,I need to upgrade my mobile data plan,Telecom Sales,Low,"upgrade,mobile,data,plan"
12,Telecommunication,How do I switch to a different phone plan?,Telecom Sales,Low,"switch,phone,plan"
13,Telecommunication,What's the cost of adding a new line to my account?,Telecom Sales,Medium,"add,new line,cost"
14,Telecommunication,Do you offer family sharing plans?,Telecom Sales,Low,"family,sharing,plans"
15,Telecommunication,I want to upgrade my device to the latest model,Telecom Sales,Low,"upgrade,device,latest"
16,Telecommunication,My phone isn't connecting to the network,Telecom Technical,High,"phone,not connecting,network"
17,Telecommunication,The mobile data is extremely slow,Telecom Technical,High,"mobile data,slow"
18,Telecommunication,I can't make calls - it keeps dropping,Telecom Technical,High,"calls,dropping"
19,Telecommunication,How do I set up voicemail?,Telecom Technical,Medium,"voicemail,setup"
20,Telecommunication,My SIM card isn't being recognized,Telecom Technical,High,"SIM card,not recognized"
21,Healthcare,I'd like to schedule an appointment with Dr. Smith,Healthcare Services,Medium,"appointment,schedule,doctor"
22,Healthcare,How do I access my medical records online?,Healthcare Services,Low,"medical records,online,access"
23,Healthcare,Can I get a copy of my test results?,Healthcare Services,Medium,"test results,copy"
24,Healthcare,What insurance plans do you accept?,Healthcare Services,Low,"insurance,plans,accept"
25,Healthcare,I need to refill my prescription,Healthcare Services,Medium,"prescription,refill"
26,Healthcare,The patient portal isn't loading,Healthcare Technical,High,"portal,not loading"
27,Healthcare,How do I book a telemedicine consultation?,Healthcare Services,Low,"telemedicine,consultation,book"
28,Healthcare,My insurance claim was denied,Healthcare Billing,High,"insurance,claim,denied"
29,Healthcare,Can I update my personal information?,Healthcare Services,Low,"personal information,update"
30,Healthcare,What are your clinic's operating hours?,General Inquiry,Low,"operating hours,clinic"
31,Banking,I want to open a new savings account,Banking Services,Low,"savings,account,open"
32,Banking,How do I apply for a credit card?,Banking Services,Medium,"credit card,apply"
33,Banking,My online banking login isn't working,Banking Technical,High,"online banking,login,not working"
34,Banking,I need to transfer money to another account,Banking Services,Medium,"transfer,money,account"
35,Banking,What's my current account balance?,Banking Services,Low,"account balance"
36,Banking,I suspect unauthorized activity on my account,Banking Security,High,"unauthorized,activity,suspicious"
37,Banking,How do I set up direct deposit?,Banking Services,Low,"direct deposit,setup"
38,Banking,My card was stolen - please block it immediately,Banking Security,High,"card,stolen,block"
39,Banking,Can I get a loan for a home purchase?,Banking Services,Medium,"loan,home,purchase"
40,Banking,What are the fees for my account?,Banking Billing,Low,"fees,account"
41,SaaS,I need to upgrade our team plan,SaaS Sales,Medium,"upgrade,team,plan"
42,SaaS,How many users can we add to our account?,SaaS Sales,Low,"users,add,account"
43,SaaS,The API integration is returning errors,SaaS Technical,High,"API,integration,errors"
44,SaaS,Can we export our data from the platform?,SaaS Services,Medium,"export,data,platform"
