Question ,Category,Priority
My internet is not working since yesterday,Technical Support,High
I was charged twice for my subscription,Billing,Medium
I forgot my password and cannot login,Account Management,Medium
I want to upgrade my plan,Sales,Low
I am unable to login even after entering the correct password.,Account Management,High
I did not receive the OTP while trying to login.,Account Management,High
I want to change my registered email address,Account Management,Medium
My profile details are incorrect and I am unable to edit them.,Account Management,Medium
 I accidentally deleted my account. Can it be recovered?,Account Management,High
I am not receiving password reset emails.,Account Management,High
My account shows unauthorized login activity.,Account Management,High
I want to deactivate my account temporarily.,Account Management,Low
I am unable to update my phone number in account settings.,Account Management,Medium
My username is displaying incorrectly after login.,Account Management,Medium
I want to permanently delete my account.,Account Management,Low
I forgot both my username and password.,Account Management,High
My account got suspended without any explanation.,Account Management,High
I am unable to verify my email address.,Account Management,Medium
The account dashboard is not loading after login.,Account Management,High
I want to link my social media account but it is not working.,Account Management,Medium
My account preferences are getting reset automatically.,Account Management,Medium
I cannot log out from my account.,Account Management,Medium
I want to merge two of my accounts.,Account Management,Low
My account language settings are not updating.,Account Management,Low
I want to enable two-factor authentication.,Account Management,Low
I am stuck in a login loop after entering credentials.,Account Management,High
My account is showing another user's data.,Account Management,High
I cannot change my password even after verification.,Account Management,High
My account was hacked and the email was changed.,Account Management,High
I cannot access any websites on my connection,Technical Support,High
Network drops frequently during video calls,Technical Support,High
My modem is not turning on,Technical Support,High
Internet is working on phone but not on laptop,Technical Support,Medium
DNS error is showing while browsing,Technical Support,Medium
The connection becomes unstable at night,Technical Support,Medium
My LAN cable is connected but no internet,Technical Support,High
Router keeps restarting automatically,Technical Support,High
Internet stops working after some time,Technical Support,High
Unable to stream videos due to buffering,Technical Support,Medium
My device cannot detect the WiFi network,Technical Support,High
Frequent packet loss during gaming,Technical Support,Medium
Network shows connected but no internet access,Technical Support,High
Unable to join online meetings due to network issues,Technical Support,High
Slow upload speed affecting my work,Technical Support,Medium
Internet disconnects when multiple devices are connected,Technical Support,Medium
Router firmware update failed,Technical Support,Low
My broadband is not working since morning,Technical Support,High
Signal strength is very weak in my room,Technical Support,Medium
Internet connection drops during downloads,Technical Support,Medium
VPN is not connecting properly,Technical Support,High
Network latency is too high,Technical Support,Medium
Unable to reset my router settings,Technical Support,Low
I want to upgrade my current plan to premium.,Sales / Plan Upgrade,Low
Can you help me switch to the pro plan?,Sales / Plan Upgrade,Low
I am interested in upgrading my subscription.,Sales / Plan Upgrade,Low
How can I move from basic to premium plan?,Sales / Plan Upgrade,Low
