ticket_text,category,priority,reason
What browsers are officially supported by your platform?,General Inquiry,Low,Browser compatibility support inquiry
My discount code was applied but my account tier didn't change.,Account Management,High,Discount code applied without tier change
This is the 2th time I'm contacting support for the same issue with no resolution.,Complaints & Escalations,High,Repeat contact for unresolved issue requiring escalation
Why did my bill increase from $19.99 to $9.99 without notice?,Billing,High,Unexplained price increase on monthly bill
The Slack search function returns no results for anything I type.,Technical Support,Low,Search feature returning empty results
Please remove the old credit card and add a new one to my account.,Account Management,Medium,Payment method update on account
My teammate's invitation email never arrived. Please resend.,Account Management,Low,Team invitation email not received by invitee
Do you offer a free trial for the Plus plan before purchasing?,Sales / Plan Upgrade,Low,Free trial availability inquiry for paid plan
Can I use internet offline without an internet connection?,General Inquiry,Medium,Offline functionality availability inquiry
I want to add 50 more user seats to our current business account.,Sales / Plan Upgrade,Medium,Additional user seats requested for business plan
The dark mode feature stopped working after I changed settings.,Technical Support,Low,Feature malfunction after user action
The internet mobile app is stuck on the loading screen.,Technical Support,Low,Mobile app loading indefinitely
I was given incorrect information by your support team about pricing.,Complaints & Escalations,Medium,Incorrect information provided by support agent
I need to update my email address from oldemail@example.com to user.new@company.com.,Account Management,Medium,Email address update required on account
I never received my invoice for August. Please resend it.,Billing,High,Missing invoice for billing period
I need a verification letter confirming my account is active.,Account Management,Low,Account verification letter request
The cloud storage mobile app is stuck on the loading screen.,Technical Support,Medium,Mobile app loading indefinitely
I was charged for share which I never subscribed to.,Billing,High,Charge for unsubscribed service or feature
I want to add 20 more user seats to our current business account.,Sales / Plan Upgrade,High,Additional user seats requested for business plan
I'd like to upgrade from the Basic plan to the Enterprise plan. What's the cost?,Sales / Plan Upgrade,Medium,Customer inquiring about plan upgrade pricing
Why did my bill increase from $9.99 to $99.99 without notice?,Billing,Medium,Unexplained price increase on monthly bill
I'm getting SSL certificate errors when visiting platform site.,Technical Support,High,SSL/TLS certificate validation error
I can't access my account after changing my phone number.,Account Management,Medium,Account inaccessible after phone number change
My account's time zone setting keeps resetting to UTC.,Account Management,Low,Time zone setting not persisting on account
I was promised a callback within 10 hours but no one called.,Complaints & Escalations,Medium,Promised callback not received in timeframe
My account shows it's active but I can't access any features.,Account Management,High,Account active but features inaccessible
The same issue keeps recurring every 15 weeks. Nothing is fixed permanently.,Complaints & Escalations,Low,Recurring issue with no permanent resolution
This is the 4th time I'm contacting support for the same issue with no resolution.,Complaints & Escalations,High,Repeat contact for unresolved issue requiring escalation
I need to deactivate notifications for just one specific project.,Account Management,Low,Project-specific notification deactivation request
The Outlook dark mode setting resets every time I reopen the app.,Technical Support,High,User preference not persisting across sessions
Where can I find the user manual for smart TV?,General Inquiry,Low,User manual or documentation request
Push notifications from Teams stopped arriving on my phone.,Technical Support,Low,Push notification delivery failure
I was charged for auto-save which I never subscribed to.,Billing,Medium,Charge for unsubscribed service or feature
Can you tell me what additional features I get with the Enterprise plan?,Sales / Plan Upgrade,Medium,Feature comparison inquiry for higher tier plan
I overpaid by $29.99 last month. Can I get a credit or refund?,Billing,High,Overpayment requiring credit or refund
I want to upgrade my storage from 100 GB to 500 GB.,Sales / Plan Upgrade,High,Storage capacity upgrade request
Can I get a quote for 3 enterprise licenses for our company?,Sales / Plan Upgrade,Medium,Enterprise license quote request
How do I refer a friend and get the referral bonus?,General Inquiry,Low,Referral program process inquiry
My Google sign-in option disappeared from the login page.,Account Management,Low,Third-party sign-in option missing from login
What payment methods do you accept?,General Inquiry,Medium,Accepted payment methods inquiry
I set up the account for my business but it's under my personal name.,Account Management,Low,Account name correction from personal to business
Is streaming available in my country?,General Inquiry,Low,Service geographic availability inquiry
The Outlook app crashes whenever I try to open a file. Running version 14.5.,Technical Support,High,Application crash preventing normal usage
Streaming is showing error code ERR_001 on my router.,Technical Support,High,Error code blocking service access
Your dashboard downtime cost me $19.99 in lost business this week.,Complaints & Escalations,High,Financial loss attributed to service downtime
This is the 3rd time I'm contacting support for the same issue with no resolution.,Complaints & Escalations,Medium,Repeat contact for unresolved issue requiring escalation
My webcam isn't recognized by Slack during video sessions.,Technical Support,High,Peripheral device not recognized by application
Push notifications from your mobile app stopped arriving on my phone.,Technical Support,High,Push notification delivery failure
Why did my bill increase from $9.99 to $19.99 without notice?,Billing,High,Unexplained price increase on monthly bill
The early termination fee of $29.99 charged seems incorrect.,Billing,Low,Early termination fee dispute
I can hear the other person but they can't hear me on Outlook.,Technical Support,High,One-way audio issue in communication app
File uploads to cloud storage fail after reaching 50%.,Technical Support,High,Upload failure at specific completion threshold
I want to add 2 more user seats to our current business account.,Sales / Plan Upgrade,Medium,Additional user seats requested for business plan
I need to dispute a charge of $99.99 from January.,Billing,High,Billing dispute for specific charge
My tablet won't turn on after the battery drained completely.,Technical Support,High,Device power failure after battery depletion
We're a startup of 5 people. Which plan would you recommend?,Sales / Plan Upgrade,Low,Plan recommendation requested for small team
What's the maximum file size I can upload to streaming?,General Inquiry,Low,File upload size limit inquiry
Can I get a quote for 4 enterprise licenses for our company?,Sales / Plan Upgrade,Low,Enterprise license quote request
Is VoIP available in my country?,General Inquiry,Low,Service geographic availability inquiry
Do you have a mobile app for Android and iOS?,General Inquiry,Medium,Mobile app platform availability inquiry
I need to remove a payment method that is no longer valid.,Account Management,Medium,Expired payment method removal from account
What's the price difference between monthly and annual billing?,Sales / Plan Upgrade,High,Billing cycle pricing comparison requested
Video calls on Safari keep freezing every few seconds.,Technical Support,Low,Video streaming quality issue
My desktop PC microphone isn't working during Zoom calls.,Technical Support,High,Microphone not functional during calls
I'm getting a 'Server unavailable' error every time I launch Gmail.,Technical Support,High,Recurring application error on launch
My linked bank account needs to be updated in the system.,Account Management,Medium,Linked payment account update needed
My account's custom domain setup isn't working correctly.,Account Management,High,Custom domain configuration issue on account
Can I access my account from multiple countries while traveling?,General Inquiry,Medium,International access policy inquiry
My webcam isn't recognized by Zoom during video sessions.,Technical Support,Medium,Peripheral device not recognized by application
The platform mobile app is stuck on the loading screen.,Technical Support,Low,Mobile app loading indefinitely
The currency on my invoice is wrong. I should be billed in CAD.,Billing,Medium,Incorrect billing currency on invoice
Your portal downtime cost me $99.99 in lost business this week.,Complaints & Escalations,High,Financial loss attributed to service downtime
I can't receive emails on Teams. Sending works fine.,Technical Support,High,Email receive-only failure
Please help me set up account recovery options.,Account Management,Medium,Account recovery options configuration needed
I want to change my account type from personal to business.,Account Management,Low,Account type conversion from personal to business
Video calls on your mobile app keep freezing every few seconds.,Technical Support,High,Video streaming quality issue
The ticket I raised 10 days ago was closed without any resolution.,Complaints & Escalations,High,Support ticket closed without resolution
How many devices can I use with a single account?,General Inquiry,Medium,Multi-device usage policy inquiry
I've sent 50 emails with no response in 7 days. This is unacceptable.,Complaints & Escalations,High,Multiple unanswered support communications
My smart speaker microphone isn't working during calls.,Technical Support,High,Microphone not functional during calls
I'm getting a 'Token expired' error every time I launch Slack.,Technical Support,High,Recurring application error on launch
Cloud storage is showing error code 404 on my laptop.,Technical Support,Low,Error code blocking service access
My refund of $49.99 was promised 30 days ago but hasn't arrived.,Billing,Low,Delayed refund not received in expected timeframe
The payment receipt I received shows the wrong billing address.,Billing,Medium,Incorrect address on payment receipt
I need to add the extra storage add-on to my existing subscription.,Sales / Plan Upgrade,Low,Add-on feature purchase request
Does the Business plan include notifications? I need it for my workflow.,Sales / Plan Upgrade,Medium,Feature availability inquiry before plan decision
My account was created with the wrong country/region setting.,Account Management,High,Incorrect country or region on account profile
We need custom SLA terms. Is that available on enterprise plans?,Sales / Plan Upgrade,Low,Custom SLA terms inquiry for enterprise tier
Why did my bill increase from $19.99 to $149.99 without notice?,Billing,Low,Unexplained price increase on monthly bill
I need to unlock my account after multiple failed 2FA attempts.,Account Management,High,Account locked after failed 2FA attempts
I need an itemized breakdown of my $99.99 invoice from January.,Billing,Low,Itemized invoice breakdown requested
My bill shows $99.99 but my plan is only $9.99 per month.,Billing,Low,Bill amount exceeds contracted plan price
My VoIP router shows connected but no pages load.,Technical Support,Medium,Connected status with no actual internet access
The currency on my invoice is wrong. I should be billed in AUD.,Billing,Medium,Incorrect billing currency on invoice
My bill increase from $9.99 to $29.99 appeared without notice.,Billing,Medium,Unexplained price increase on monthly bill
The early termination fee of $19.99 charged seems incorrect.,Billing,Medium,Early termination fee dispute
I've been waiting 5 days for a resolution and no one has followed up.,Complaints & Escalations,Medium,Extended wait time with no follow-up on ticket
This is the 15th time I'm contacting support for the same issue with no resolution.,Complaints & Escalations,High,Repeat contact for unresolved issue requiring escalation
The dashboard desktop app won't install on Windows 10.,Technical Support,High,Software installation failure on specific OS version
My router's red light keeps blinking. No internet access.,Technical Support,High,Router status light indicating connectivity issue
My username was changed without my permission.,Account Management,Low,Unauthorized username change on account
I need help linking my old account to my new Google account.,Account Management,Medium,Account linking to new Google login requested
The email verification link I received has already expired.,Account Management,Medium,Expired email verification link issue
I can hear the other person but they can't hear me on Teams.,Technical Support,Medium,One-way audio issue in communication app
My bill shows $49.99 but my plan is only $14.99 per month.,Billing,High,Bill amount exceeds contracted plan price
We're a startup of 4 people. Which plan would you recommend?,Sales / Plan Upgrade,Low,Plan recommendation requested for small team
I was charged $29.99 twice this month. Please refund the extra amount.,Billing,High,Duplicate charge detected on account
I've sent 20 emails with no response in 3 days. This is unacceptable.,Complaints & Escalations,High,Multiple unanswered support communications
Video calls on the desktop client keep freezing every few seconds.,Technical Support,Low,Video streaming quality issue
Can I use platform offline without an internet connection?,General Inquiry,Medium,Offline functionality availability inquiry
Can I use VPN offline without an internet connection?,General Inquiry,Low,Offline functionality availability inquiry
I never received my invoice for January. Please resend it.,Billing,High,Missing invoice for billing period
We're a startup of 50 people. Which plan would you recommend?,Sales / Plan Upgrade,High,Plan recommendation requested for small team
The same issue keeps recurring every 30 weeks. Nothing is fixed permanently.,Complaints & Escalations,High,Recurring issue with no permanent resolution
I see a charge labeled 'PLATFORM-LEVY' that I don't recognize.,Billing,Medium,Unidentifiable line item on invoice
My saved preferences and bookmarks disappeared after I logged in.,Account Management,Low,Saved preferences lost after login session
I want to merge two accounts under the same email.,Account Management,High,Account consolidation request
My refund of $29.99 was promised 7 days ago but hasn't arrived.,Billing,High,Delayed refund not received in expected timeframe
I can't share my screen on Chrome. The option is missing.,Technical Support,High,Screen share feature missing from application
I need to update my billing address on the account.,Account Management,Medium,Billing address update required
What's the maximum file size I can upload to portal?,General Inquiry,Medium,File upload size limit inquiry
